year,woven,gsp_value,value,frac
2001,0,2285329558,2935552460,0.7785006703644465
2001,1,516626650,2627218228,0.19664398050149337
2002,0,2472131690,3015474144,0.8198152502547208
2002,1,574972420,2371776240,0.24242270847607444
2003,0,2758378508,3475615234,0.7936374777669075
2003,1,597997856,2624821076,0.22782423589469836
2004,0,3514704440,4351280776,0.8077402082131231
2004,1,741523440,3037206256,0.2441465536083105
2005,0,3739174466,4395893384,0.8506062680249936
2005,1,750913674,2669575744,0.2812857719762081
2006,0,5044798216,5834936354,0.8645849603040932
2006,1,1195669172,3392905650,0.35240271771188214
2007,0,5052660928,5788738414,0.8728431942580434
2007,1,1108320784,2979020652,0.3720419941553329
2008,0,6030264658,6427555640,0.938189413790901
2008,1,1201834354,3009148534,0.39939349633978555
2009,0,6573052032,6899776732,0.9526470619716279
2009,1,1426098742,3367022580,0.4235489094937997
2010,0,8111387968,8526394538,0.9513268394805776
2010,1,1747071616,3858326236,0.45280557141565675
2011,0,10143538054,10536114040,0.9627399642306833
2011,1,4877868578,5373013276,0.907845993939435
2012,0,10351249534,10576517164,0.9787011521366638
2012,1,6581638064,6734571876,0.977291234719016
2013,0,11176496958,11428909506,0.9779145553766536
2013,1,7438423996,7602743778,0.9783867789316416
2014,0,12760329286,13209137374,0.9660229070761726
2014,1,8473987806,8909695642,0.951097337832048
2015,0,15730010216,16296265334,0.9652524608310971
2015,1,10961122316,11398284376,0.961646678958065
2016,0,16602358832,17357886526,0.9564735203869255
2016,1,12025403992,12573501286,0.9564085387567995
2017,0,17173453532,17708196480,0.969802517799938
2017,1,12278868666,12700823730,0.9667773466532473
2018,0,18186580328,18721109344,0.9714477915716403
2018,1,12972299878,13428773008,0.9660078303707968
