year,woven,gsp_value,value,frac
2001,0,84484537,270115967,0.3127713549788043
2001,1,1507901,1529036,0.9861775654726246
2002,0,146677772,289646386,0.506402907440385
2002,1,2691236,2802818,0.9601893522875906
2003,0,188964058,294706668,0.6411936970492979
2003,1,759193,1049468,0.7234074788368964
2004,0,264081394,371243763,0.7113423047594741
2004,1,0,23523,0
2005,0,264664503,364674384,0.7257556730389925
2005,1,3921807,3934557,0.9967594827066936
2006,0,329280847,440294462,0.7478650662655848
2006,1,6510178,6575979,0.9899937332524936
2007,0,304292668,417983822,0.7280010660316896
2007,1,6165378,6186935,0.9965157222437281
2008,0,338530055,447832253,0.7559304912323945
2008,1,8544972,8557036,0.9985901660341268
2009,0,335500404,449496107,0.7463922351612269
2009,1,7355408,7423038,0.9908891750251043
2010,0,410417814,552978539,0.7421948322663567
2010,1,9091720,9286719,0.9790023796348312
2011,0,800431255,896362216,0.892977460129801
2011,1,162994642,182351033,0.8938509385905151
2012,0,978979232,1025239090,0.9548789560881843
2012,1,355158625,365701842,0.9711699100492909
2013,0,1133810239,1177267417,0.963086400445244
2013,1,492693073,505159819,0.9753211844428189
2014,0,1480829894,1598540530,0.9263636837534548
2014,1,597634361,631395761,0.9465289409822313
2015,0,1930617480,2106050655,0.9167004010167077
2015,1,853383076,885554696,0.9636706573345302
2016,0,2154303260,2383482185,0.9038470157476759
2016,1,991757948,1032026518,0.960981070449587
2017,0,2464706485,2556452460,0.9641119964343088
2017,1,1096214043,1128627108,0.9712809795456375
2018,0,2609808618,2700669241,0.9663562565824032
2018,1,1172722608,1207342168,0.9713258089400221
