year,woven,gsp_value,value,frac
2001,0,9363530,10063816,0.9304154606960222
2001,1,365476,589526,0.6199489081058341
2002,0,11048968,11926212,0.9264440377212815
2002,1,359430,627124,0.5731402402076782
2003,0,10352060,11120586,0.9308915915042607
2003,1,449644,673940,0.6671869899397572
2004,0,11768580,12643590,0.9307941810830627
2004,1,806560,1002422,0.8046112315970719
2005,0,13934324,14826292,0.9398387675084235
2005,1,587166,838266,0.7004530781398745
2006,0,12728608,13689632,0.9297991355793932
2006,1,1140818,1337102,0.8532019247596668
2007,0,13007934,14387522,0.9041121883254114
2007,1,1121182,1293994,0.8664506945163579
2008,0,14775042,15715128,0.9401795518305673
2008,1,735416,926618,0.793656069707258
2009,0,12341798,13108988,0.9414760315594156
2009,1,1092318,1319606,0.82776071039386
2010,0,16907682,18227820,0.9275756508457951
2010,1,1323026,1492758,0.8862963722184037
2011,0,26860922,28485854,0.94295652852816
2011,1,42508986,45428434,0.9357352269726049
2012,0,25444228,27186920,0.9358996164331965
2012,1,37773124,40317780,0.9368850169825819
2013,0,28507866,29605400,0.9629279117998744
2013,1,40643830,42573094,0.9546834909391363
2014,0,31010636,32457338,0.9554275831246543
2014,1,43491064,46062164,0.9441819537614429
2015,0,35544300,37825232,0.9396981358898209
2015,1,45631134,48067272,0.9493181556049197
2016,0,36831032,38713446,0.9513757054848592
2016,1,45988514,48148468,0.9551397149334014
2017,0,38563990,40502526,0.9521378987572281
2017,1,41582346,45147826,0.9210265406799433
2018,0,36914116,39719436,0.9293716053772768
2018,1,35471820,38554150,0.9200519269650609
