year,woven,gsp_value,value,frac
2001,0,4681765,5031908,0.9304154606960222
2001,1,182738,294763,0.6199489081058341
2002,0,5524484,5963106,0.9264440377212815
2002,1,179715,313562,0.5731402402076782
2003,0,5176030,5560293,0.9308915915042607
2003,1,224822,336970,0.6671869899397572
2004,0,5884290,6321795,0.9307941810830627
2004,1,403280,501211,0.8046112315970719
2005,0,6967162,7413146,0.9398387675084235
2005,1,293583,419133,0.7004530781398745
2006,0,6364304,6844816,0.9297991355793932
2006,1,570409,668551,0.8532019247596668
2007,0,6503967,7193761,0.9041121883254114
2007,1,560591,646997,0.8664506945163579
2008,0,7387521,7857564,0.9401795518305673
2008,1,367708,463309,0.793656069707258
2009,0,6170899,6554494,0.9414760315594156
2009,1,546159,659803,0.82776071039386
2010,0,8453841,9113910,0.9275756508457951
2010,1,661513,746379,0.8862963722184037
2011,0,13430461,14242927,0.94295652852816
2011,1,21254493,22714217,0.9357352269726049
2012,0,12722114,13593460,0.9358996164331965
2012,1,18886562,20158890,0.9368850169825819
2013,0,14253933,14802700,0.9629279117998744
2013,1,20321915,21286547,0.9546834909391363
2014,0,15505318,16228669,0.9554275831246543
2014,1,21745532,23031082,0.9441819537614429
2015,0,17772150,18912616,0.9396981358898209
2015,1,22815567,24033636,0.9493181556049197
2016,0,18415516,19356723,0.9513757054848592
2016,1,22994257,24074234,0.9551397149334014
2017,0,19281995,20251263,0.9521378987572281
2017,1,20791173,22573913,0.9210265406799433
2018,0,18457058,19859718,0.9293716053772768
2018,1,17735910,19277075,0.9200519269650609
